ID,year_,arrival_date,departure_date,tenure,young,mates,success_yn,latit,longit,present_next_year,present_previous_year,tarsus,wing,weight,hema,testo
127231882,2009,161,175,15,0,0,0,71.32145462,-156.6603531,0,0,28.61000061,138,94.80000305,59.25,6989.04317
127231883,2009,161,161,1,0,0,0,71.32097,-156.65684,0,0,28.40999985,140,106.0999985,61.25,6447.08436
127231884,2009,161,167,7,0,0,0,71.32552667,-156.6498167,0,0,28.71999931,141,101.4000015,61.5,8069.55786
127231885,2009,161,161,1,0,0,0,71.32117,-156.65564,0,0,29.42000008,144,105.0999985,68,4654.72542
127231886,2009,162,174,13,0,0,0,71.32405667,-156.6548383,0,0,29.21999931,145,81.80000305,53,7648.54991
127231887,2009,162,171,10,0,0,0,71.32483125,-156.6415988,0,0,27.68000031,148,105.4000015,62,9564.90102
127231889,2009,165,165,1,0,0,0,71.32161,-156.65938,0,0,29.20999908,140,97.90000153,61.33,713.86271
127231890,2009,166,177,12,7,2,1,71.32391167,-156.667985,0,0,29.26000023,145,107,61.5,901.65728
127231895,2009,170,170,1,4,1,1,71.32234,-156.62587,0,0,29.47999954,143,97.80000305,NA,NA
127231896,2009,157,177,21,0,0,0,71.3204075,-156.6638225,0,0,30.45999908,141,98.30000305,56.25,2416.85393
127231897,2009,171,175,5,0,0,0,71.32543667,-156.6708433,0,0,31.35000038,NA,111.5,60,16270.64353
127231900,2009,159,177,19,4,1,1,71.31993,-156.6664667,0,0,28.5,138,96.80000305,55.5,1640.57009
127231901,2008,155,159,5,0,0,0,71.320815,-156.6632238,0,0,29.57999992,149.5,89.90000153,57.83,9103.18852
127231902,2008,156,176,21,0,0,0,71.32142706,-156.6656994,0,0,29.01000023,142,89.59999847,60.5,3390.82138
127231903,2008,159,178,20,0,0,0,71.32290263,-156.6632501,0,0,30.89999962,149.5,100.5999985,59.83,9062.83309
127231904,2008,159,182,24,3,1,1,71.31898982,-156.6673796,0,0,28.72999954,140.5,96.09999847,NA,NA
127231905,2008,159,159,1,0,0,0,71.32019,-156.6673,0,0,29.12000084,145,100.4000015,NA,9117.01918
127231906,2008,159,159,1,0,0,0,71.318375,-156.65983,0,0,27.30999947,145,97.30000305,59.5,2723.62372
127231907,2008,159,160,2,0,0,0,71.320465,-156.669325,0,0,29.79999924,149,104,50.67,8667.042
127231908,2008,159,162,4,0,0,0,71.31698,-156.6635843,0,0,30.35000038,146,104,56,979.26946
127231909,2008,160,182,23,0,0,0,71.31843108,-156.6541886,0,0,29.29999924,146,103.8000031,NA,7273.24624
127231910,2008,160,163,4,0,0,0,71.31576,-156.65832,0,0,28.79999924,146,98.80000305,60,8158.77165
127231911,2008,160,170,11,3,1,1,71.32248333,-156.6531933,0,0,29.45000076,143,102.5999985,59,14204.65674
127231912,2008,161,161,1,0,0,0,71.32248,-156.6716,0,0,29.5,140,98.09999847,NA,1061.55365
127231913,2008,161,161,1,0,0,0,71.32249,-156.6724,0,0,28.57999992,147,106,57,1843.72366
127231914,2008,162,162,1,0,0,0,71.3231,-156.6726,0,0,28.90999985,145,115,59,1146.85155
127231915,2008,162,162,1,0,0,0,71.322214,-156.66913,0,0,29.98999977,146,104.5,57.83,2328.56709
127231916,2008,162,162,1,0,0,0,71.32296,-156.674,0,0,29.81999969,147,100.4000015,61,912.8027
127231917,2008,163,163,1,0,0,0,71.32213556,-156.6611111,0,0,30.47999954,151,105.6999969,56.5,10000.64487
127231918,2008,164,164,1,0,0,0,71.31921,-156.651,0,0,28.46999931,141,97.80000305,58.5,14101.44672
127231919,2008,164,177,14,0,0,0,71.319137,-156.639714,0,0,28.92000008,141,106.3000031,61,34861.55951
